target,class,frames,weight
0,mech_train,2418,5.680918750397659
1,ins_trill,14500,0.947342175066313
2,frog,6084,2.2578010418247105
3,ambient_noise,22334,0.6150470824062657
4,mech_plane,4986,2.7550063254034374
5,ambient_rain,1443,9.519377365531211
6,mech_hum,2148,6.395000716229767
7,mech_auto,27630,0.49715749324869846
8,ins_buzz,37237,0.36889280926126
9,mech_siren,2870,4.786223532564996
10,ambient_background,51999,0.2641678020435304
11,bird_goose,337,40.76101346724492
12,human,4588,2.9939977198041716
