ident,classification,source,start,end,duration,path_relative,fold,frames,classification_original,path_audio,target
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",80130.092,80131.092,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s80130.wav,1,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s80130.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",31124.282,31125.282,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31124.wav,5,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31124.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",31142.202,31143.202,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31142.wav,3,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31142.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",31165.882,31166.882,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31165.wav,3,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31165.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",31182.346,31183.346,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31182.wav,2,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31182.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",31209.962,31210.962,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31209.wav,5,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31209.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",31466.602,31467.602,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31466.wav,5,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31466.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",31484.618,31485.618,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31484.wav,3,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31484.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",31508.33,31509.33,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31508.wav,3,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31508.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",31530.058,31531.058,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31530.wav,4,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31530.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",31578.794,31579.794,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31578.wav,4,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s31578.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",84714.826,84715.826,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s84714.wav,5,1,ambient_bang,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123_s84714.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",8146.508,8147.508,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s8146.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s8146.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",13789.788,13790.788,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s13789.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s13789.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",13818.956,13819.956,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s13818.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s13818.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",13945.436,13946.436,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s13945.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s13945.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14010.14,14011.14,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14010.wav,4,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14010.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14365.612,14366.612,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14365.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14365.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14447.708,14448.708,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14447.wav,4,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14447.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14467.452,14468.452,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14467.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14467.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14478.972,14479.972,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14478.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14478.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14504.044,14505.044,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14504.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14504.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14523.052,14524.052,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14523.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14523.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14530.46,14531.46,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14530.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14530.wav,3
