,target,class,frames,weight
0,0,ambient_background,45682,0.343966484021648
1,1,ambient_noise,16639,0.9443522401031866
2,2,ambient_rain,12879,1.2200541131358742
3,3,bird_goose,132,119.03846153846153
4,4,frog,3897,4.032095694913247
5,5,human,5574,2.818994783472717
6,6,ins_buzz,27717,0.5669111708726385
7,7,ins_trill,22098,0.7110633054157355
8,8,mech_auto,45274,0.34706623941063136
9,9,mech_hum,5214,3.0136319376825704
10,10,mech_plane,48339,0.32506003274947604
11,11,mech_siren,2377,6.610465680722307
12,12,mech_train,1001,15.69737954353339
