target,class,samples,weight
0,EXCLUDE,8,18.0625
1,ambient_background,378,0.38227513227513227
2,ambient_music_windchime,28,5.160714285714286
3,ambient_noise,512,0.2822265625
4,ambient_rain,30,4.816666666666666
5,ambient_ringing,3,48.166666666666664
6,ambient_wind,33,4.378787878787879
7,animal,50,2.89
8,human,69,2.0942028985507246
9,ins_buzz,586,0.24658703071672355
10,ins_trill,228,0.6337719298245614
11,mech_auto,302,0.478476821192053
12,mech_beep,18,8.027777777777779
13,mech_hum,112,1.2901785714285714
14,mech_hum_chainsaw,2,72.25
15,mech_plane,229,0.631004366812227
16,mech_weedwhacker,2,72.25
17,static,11,13.136363636363637
